Date,Open,High,Low,Close,Adj Close,Volume
"Oct 21, 2020",39.31,39.57,38.98,39.06,39.06,16999900
"Oct 20, 2020",39.44,39.51,39.03,39.20,39.20,16564900
"Oct 19, 2020",40.15,40.38,39.16,39.30,39.30,19600500
"Oct 16, 2020",39.88,40.30,39.55,40.16,40.16,21292500
"Oct 15, 2020",39.47,40.00,39.35,39.97,39.97,15451400
"Oct 14, 2020",39.85,40.42,39.76,39.89,39.89,16444700
"Oct 13, 2020",40.54,40.61,39.71,39.81,39.81,23438300
"Oct 12, 2020",39.93,40.53,39.63,40.36,40.36,22757200
"Oct 09, 2020",40.15,40.23,39.72,39.85,39.85,16167500
"Oct 08, 2020",39.80,40.18,39.66,39.79,39.79,19031300
"Oct 07, 2020",38.98,39.58,38.78,39.40,39.40,20593700
"Oct 06, 2020",38.50,39.35,38.40,38.57,38.57,28430800
"Oct 05, 2020",38.48,38.79,38.28,38.57,38.57,26929100
"Oct 02, 2020",38.05,38.55,37.97,38.27,38.27,24493000
"Oct 01, 2020",39.10,39.31,38.57,38.80,38.80,20763500
"Sep 30, 2020",39.09,39.70,39.02,39.39,39.03,27102400
"Sep 29, 2020",39.07,39.38,38.83,39.06,38.70,16353700
"Sep 28, 2020",39.20,39.29,38.79,39.13,38.77,24275700
"Sep 25, 2020",37.76,38.54,37.62,38.45,38.10,22966600
"Sep 24, 2020",38.00,38.16,37.60,37.85,37.50,30910400
"Sep 23, 2020",39.23,39.39,38.18,38.28,37.93,24843200
"Sep 22, 2020",39.18,39.46,38.88,39.32,38.96,17656800
"Sep 21, 2020",39.31,39.47,38.69,39.04,38.68,28495000
"Sep 18, 2020",40.18,40.32,39.58,39.81,39.45,44450800
"Sep 17, 2020",39.66,40.40,39.51,40.37,40.00,22225900
"Sep 16, 2020",40.72,41.17,40.39,40.42,40.05,24310200
"Sep 15, 2020",40.51,40.84,40.38,40.60,40.23,19024100
"Sep 14, 2020",40.22,40.64,40.05,40.37,40.00,19866700
"Sep 11, 2020",39.77,40.05,39.52,39.88,39.52,21853000
"Sep 10, 2020",40.03,40.64,39.42,39.57,39.21,25108800
"Sep 09, 2020",40.10,40.48,39.72,40.13,39.76,23351600
"Sep 08, 2020",40.05,40.61,39.97,40.00,39.63,29101800
"Sep 04, 2020",41.20,41.43,40.44,40.82,40.45,34867400
"Sep 03, 2020",41.75,41.83,40.67,40.95,40.58,39288100
"Sep 02, 2020",42.04,42.69,42.03,42.42,42.03,30045700
"Sep 01, 2020",42.00,42.07,41.50,42.03,41.65,23344900
"Aug 31, 2020",42.10,42.35,41.94,42.22,41.83,21298000
"Aug 28, 2020",42.14,42.30,42.00,42.20,41.81,16573600
"Aug 27, 2020",42.40,42.47,42.02,42.29,41.90,22456800
"Aug 26, 2020",41.65,42.28,41.45,42.25,41.86,21625800
"Aug 25, 2020",42.23,42.30,41.78,41.96,41.58,15417400
"Aug 24, 2020",42.07,42.47,42.00,42.18,41.79,17742900
"Aug 21, 2020",42.05,42.30,41.81,42.25,41.86,17389600
"Aug 20, 2020",41.87,42.42,41.73,42.31,41.92,18443900
"Aug 19, 2020",42.10,42.35,41.78,41.87,41.49,20097400
"Aug 18, 2020",42.13,42.29,41.81,41.98,41.60,23344600
"Aug 17, 2020",42.55,42.76,41.86,42.09,41.71,30511700
"Aug 14, 2020",42.49,42.88,42.27,42.50,42.11,32539500
"Aug 13, 2020",43.79,43.84,42.38,42.72,42.33,91849500
"Aug 12, 2020",47.28,48.13,47.27,48.10,47.66,27023700
"Aug 11, 2020",47.90,48.45,47.09,47.19,46.76,18859600
"Aug 10, 2020",47.16,48.00,47.16,47.73,47.29,14999200
"Aug 07, 2020",47.33,47.60,47.03,47.43,47.00,17046500
"Aug 06, 2020",47.23,47.83,47.10,47.77,47.33,14190900
"Aug 05, 2020",47.67,47.73,47.05,47.33,46.90,13077600
"Aug 04, 2020",47.01,47.67,46.91,47.67,47.23,12839500
"Aug 03, 2020",47.14,47.36,46.68,47.16,46.73,14141100
"Jul 31, 2020",46.39,47.11,45.86,47.10,46.67,17706400
"Jul 30, 2020",46.13,46.46,45.38,46.44,46.02,15385100
"Jul 29, 2020",46.40,46.88,46.37,46.71,46.28,11618200
"Jul 28, 2020",46.98,47.08,46.21,46.28,45.86,13975300
"Jul 27, 2020",46.66,47.26,46.15,47.19,46.76,15576000
"Jul 24, 2020",47.49,47.64,46.11,46.40,45.98,16983600
"Jul 23, 2020",46.98,47.70,46.68,47.41,46.98,23750200
"Jul 22, 2020",47.02,47.11,46.53,46.90,46.47,27218300
"Jul 21, 2020",47.28,47.33,46.85,47.02,46.59,16074700
"Jul 20, 2020",46.67,47.10,46.26,46.97,46.54,15966500
"Jul 17, 2020",46.04,46.93,45.88,46.75,46.32,20389700
"Jul 16, 2020",45.70,45.83,45.20,45.78,45.36,17709400
"Jul 15, 2020",46.50,46.83,45.99,46.40,45.98,15705000
"Jul 14, 2020",45.49,46.50,45.41,46.26,45.84,19303500
"Jul 13, 2020",46.87,46.99,45.78,45.93,45.51,17965500
"Jul 10, 2020",46.73,46.92,46.24,46.66,46.23,13775700
"Jul 09, 2020",46.60,47.20,46.22,46.70,46.27,26027700
"Jul 08, 2020",45.59,46.07,45.32,45.81,45.39,15020800
"Jul 07, 2020",46.12,46.29,45.56,45.63,45.21,17102800
"Jul 06, 2020",46.07,46.49,45.87,46.42,46.00,16152900
"Jul 02, 2020",46.07,46.22,45.48,45.63,45.21,19632000
"Jul 01, 2020",46.54,46.72,46.00,46.06,45.28,17129500
"Jun 30, 2020",46.15,47.01,46.10,46.64,45.85,21888800
"Jun 29, 2020",46.34,46.45,45.67,46.15,45.37,23875400
"Jun 26, 2020",45.12,46.51,44.63,46.31,45.53,106928300
"Jun 25, 2020",44.77,45.32,44.20,45.22,44.46,19114900
"Jun 24, 2020",45.29,45.47,44.39,44.75,43.99,22840100
"Jun 23, 2020",45.92,46.15,45.32,45.47,44.70,23222400
"Jun 22, 2020",45.11,45.46,44.81,45.16,44.40,18398600
"Jun 19, 2020",46.26,46.51,45.05,45.32,44.55,36103200
"Jun 18, 2020",45.79,46.05,45.35,45.83,45.06,22423500
"Jun 17, 2020",46.75,46.82,45.90,46.17,45.39,20390300
"Jun 16, 2020",47.41,47.49,45.91,46.48,45.70,28074600
"Jun 15, 2020",44.12,45.76,43.93,45.35,44.58,21300100
"Jun 12, 2020",44.96,45.86,44.11,45.07,44.31,26116600
"Jun 11, 2020",46.99,47.00,43.64,43.67,42.93,35582000
"Jun 10, 2020",47.66,47.83,47.12,47.42,46.62,18462400
"Jun 09, 2020",48.02,48.24,47.49,48.05,47.24,18597300
"Jun 08, 2020",47.46,48.16,47.12,48.13,47.32,17820900
"Jun 05, 2020",47.27,48.29,47.20,47.83,47.02,22591100
"Jun 04, 2020",46.77,47.25,46.53,46.86,46.07,14100700
